1,Facebook,Facebook,Social,,77430716,1000 M,4.06,Free,https://www.androidrank.org/application/facebook/com.facebook.katana?hl=en
2,WhatsApp Messenger,WhatsApp Inc.,Communication,,68133421,1000 M,4.40,Free,https://www.androidrank.org/application/whatsapp_messenger/com.whatsapp?hl=en
3,Instagram,Instagram,Social,,65144210,1000 M,4.51,Free,https://www.androidrank.org/application/instagram/com.instagram.android?hl=en
4,Messenger – Text and Video Chat for Free,Facebook,Communication,,55832917,1000 M,4.04,Free,https://www.androidrank.org/application/messenger_text_and_video_chat_for_free/com.facebook.orca?hl=en
5,Clash of Clans,Supercell,Games,Strategy,44578077,100 M,4.60,Free,https://www.androidrank.org/application/clash_of_clans/com.supercell.clashofclans?hl=en
6,Clean Master- Space Cleaner & Antivirus,Cheetah Mobile,Tools,,42701448,500 M,4.66,Free,https://www.androidrank.org/application/clean_master_space_cleaner_antivirus/com.cleanmaster.mguard?hl=en
7,Subway Surfers,Kiloo,Games,Arcade,27385060,1000 M,4.49,Free,https://www.androidrank.org/application/subway_surfers/com.kiloo.subwaysurf?hl=en
8,YouTube,Google LLC,Multimediamedia,Video Players,25119040,1000 M,4.28,Free,https://www.androidrank.org/application/youtube/com.google.android.youtube?hl=en
9,Security Master - Antivirus & VPN & AppLock & Booster,Cheetah Mobile (AppLock & AntiVirus),Tools,,24818686,500 M,4.65,Free,https://www.androidrank.org/application/security_master_antivirus_vpn_applock_booster/com.cleanmaster.security?hl=en
10,Clash Royale,Supercell,Games,Strategy,22842192,100 M,4.55,Free,https://www.androidrank.org/application/clash_royale/com.supercell.clashroyale?hl=en
11,Candy Crush Saga,King,Games,Casual,22097568,500 M,4.42,Free,https://www.androidrank.org/application/candy_crush_saga/com.king.candycrushsaga?hl=en
12,UC Browser - Fast Download Private & Secure,UCWeb Inc.,Communication,,17431705,500 M,4.47,Free,https://www.androidrank.org/application/uc_browser_fast_download_private_secure/com.UCMobile.intl?hl=en
13,360 Security - Free Antivirus & Booster & Cleaner,360 Mobile Security Limited,Tools,,16747790,100 M,4.58,Free,https://www.androidrank.org/application/360_security_free_antivirus_booster_cleaner/com.qihoo.security?hl=en
14,Google Play services,Google LLC,Tools,,16695538,5000 M,4.00,Free,https://www.androidrank.org/application/google_play_services/com.google.android.gms?hl=en
15,Snapchat,Snap Inc,Social,,16631653,500 M,4.04,Free,https://www.androidrank.org/application/snapchat/com.snapchat.android?hl=en
16,My Talking Tom,Outfit7 Limited,Games,Casual,14735826,500 M,4.49,Free,https://www.androidrank.org/application/my_talking_tom/com.outfit7.mytalkingtomfree?hl=en
17,8 Ball Pool,Miniclip.com,Games,Sports,13890566,100 M,4.52,Free,https://www.androidrank.org/application/8_ball_pool/com.miniclip.eightballpool?hl=en
18,DU Battery Saver - Battery Charger & Battery Life,DU APPS STUDIO - BATTERY&BOOSTER,Tools,,13461692,100 M,4.52,Free,https://www.androidrank.org/application/du_battery_saver_battery_charger_battery_life/com.dianxinos.dxbs?hl=en
19,BBM - Free Calls & Messages,BBM .,Communication,,12824891,100 M,4.27,Free,https://www.androidrank.org/application/bbm_free_calls_messages/com.bbm?hl=en
